brand,whole,reduced,low,skim,sylization,notes
ACME,Red,Dark Blue,Light Green,Pink,ACME,
ALDI,Red,Dark Blue,Light Blue,Pink,Aldi,Friendly Farms
ALTA,Red,Pink,Light Blue,White,Alta Dena,
BEST,Red,Dark Blue,Light Blue,Pink,Best Choice,
BLUE,Red,Light Green,Dark Blue,Light Blue,Blue Bell,
BOOTH,Red,Light Green,Dark Blue,Pink,Booth Bros.,
BOWL,Pink,Light Green,Light Blue,Purple,Bowl and Basket,SHOPRITE Brand
BROUGHTON,Red,Dark Blue,Pink,Light Blue,Broughton Foods,Dean Foods
BYRNE,Red,Yellow,Purple,Light Blue,Byrne Dairy,
CALDERS,Red,Orange,,,Calder Dairy,
CASSCLAY,Red,Dark Blue,Light Green,Pink,Cass-Clay Creamery,
CLOVER,Red,Light Green,Purple,Light Blue,Clover Farms,
CLOVERLAND,Red,Purple,Lime Green,Light Blue,Cloverland,
COLES,Dark Blue,,,,Coles ,Australian
CREAMOLAND,Red,Purple,Pink,Light Blue,Cream-O-Land,
CRYSTAL,Red,Dark Blue,Light Green,Pink,Crystal Creamery,
CUB,Red,Dark Blue,Yellow,Pink,Cub Foods,
CUMBERLAND,Red,Light Blue,Dark Blue,Pink,Cumberland Farms,
DARIGOLD,Red,Dark Blue,Light Green,Light Blue,Darigold,
FAIRLIFE,Red,Dark Blue,Light Green,Light Blue,fa!rlife,Label not cap
FARMLAND,Red,Purple,Light Green,Dark Blue,Farmland Fresh Dairies,
FRYS,Orange,Dark Blue,Red,Yellow,Fry's Food Stores,
GARELICK,Red,Dark Blue,Light Blue,Yellow,Garelick Farms,Dean Foods
GIANT,Red,Dark Blue,Yellow,Light Blue,Giant Eagle,
GREAT,Red,Dark Blue,Light Blue,Pink,Great Value,Walmart Store Brand
HEB,Purple,Red,Dark Blue,Light Blue,H-E-B Select Ingredients,
HILAND,Red,Dark Blue,Light Blue,Pink,Hiland,
HILL,White,Lime Green,Light Blue,Yellow,Hill Country,H-E-B
HOMESTEAD,Red,Dark Blue,,Light Green,Homestead Creamery,
HOOD,Red,Yellow,Dark Blue,Light Blue,Hood,
HORIZON,White,White,White,White,Horizon Organic,
HYVEE,Red,Purple,Light Green,Dark Blue,Hy-Vee,
KEMPS,Red,Dark Blue,Yellow,Pink,Kemps,
KLEINPETER,Red,Purple,Pink,Light Blue,Kleinpeter,
LUCERNE,Red,Pink,Yellow,Light Green,Lucerne,
MARBURGER,Red,Dark Blue,Yellow,Light Blue,Marburger Farm Dairy,
MAYFIELD,Dark Blue,Red,White,Lime Green,Mayfield Dairy Farms,Dean Foods
MEIJER,Red,Orange,Purple,Dark Blue,Meijer,
MIDLAND,Red,Purple,Light Blue,Yellow,Midland Farms,
MILLKING,Dark Blue,,,,Mill-King,
MODEL,Red,Dark Blue,Yellow,Pink,Model Dairy,Dean Foods
MORNING,Red,Dark Blue,Lime Green,Purple,Morning Fresh,
MOUNTAIN,Red,Dark Blue,Lime Green,Light Blue,Mountain Dairy,
OAKHURST,Red,Purple,Light Green,Light Blue,Oakhurst,
OBERWEIS,Dark Blue,Red,,White,Oberweis  Dairy,
PRAIRIE,Red,Dark Blue,Purple,Pink,Prairie Farms,
PUBLIX,Red,Light Green,,Light Blue,Publix,Store brand (lactose-free)
RALPHS,Red,Dark Blue,White,Light Blue,Ralphs,
REITER,Red,Dark Blue,Purple,Pink,Reiter,Dean Foods
ROUNDYS,Red,Dark Blue,Yellow,Pink,Roundy's,
SAMS,Red,Dark Blue,Light Blue,Pink,Sam's Club,Member's Mark Store Brand
SASSY,Red,Dark Blue,Light Blue,Pink,Sassy Cow Creamery,
SCHNEIDERS,Red,Dark Blue,Lime Green,Purple,Schneider's,
SHAMROCK,Red,Orange,Light Blue,Purple,Shamrock Farms,
STATER,Red,Light Blue,White,White,Stater Bros. Markets,
STEWARTS,Red,,,Light Blue,Stewart's,
STOP,Red,Light Blue,,Yellow,Stop & Shop,
STRAUS,Red,Pink,Orange,Light Blue,Straus Family Creamery,
SUPER,Red,Dark Blue,Light Blue,Pink,Super 1 Foods,
TARGET,Red,Dark Blue,Yellow,Pink,Target,Market Pantry Store Brand
TG,Red,Dark Blue,Light Blue,Pink,T.G. Lee,Dean Foods
TOPS,Red,Light Green,Dark Blue,Light Blue,Tops,
TRADER,Red,White,Dark Blue,Light Blue,Trader Joe's,
TURNERS,Red,Dark Blue,Lime Green,Light Blue,Turner Diary Farms,
UMPQUA,Red,Dark Blue,Light Green,Light Blue,Umpqua Dairy,
UNITED,Red,Dark Blue,Pink,Light Green,United Dairy,
UPSTATE,Red,Purple,Light Green,Light Blue,Upstate Farms,
VALUE,White,White,White,Dark Blue,Value Corner,Safeway Store Brand
WEGMANS,Red,Purple,Lime Green,Light Blue,Wegmans,
WEIS,Red,Dark Blue,Light Blue,Pink,Weis Markets,
WELLESLEY,Red,Purple,Light Blue,Pink,Wellesley Farms,