Alabama,73 
Alaska,3 
Arizona,"4,978 "
Arkansas,74 
California,"40,413 "
Colorado,"4,557 "
Connecticut,427 
Delaware,92 
Florida,"2,381 "
Georgia,"1,766 "
Hawaii,34 
Idaho,"15,149 "
Illinois,"1,878 "
Indiana,"4,161 "
Iowa,"5,268 "
Kansas,"3,708 "
Kentucky,"1,009 "
Louisiana,152 
Maine,618 
Maryland,925 
Massachusetts,202 
Michigan,"11,168 "
Minnesota,"9,868 "
Mississippi,129 
Missouri,"1,194 "
Montana,274 
Nebraska,"1,440 "
Nevada,734 
New Hampshire,249 
New Jersey,110 
New Mexico,"8,285 "
New York,"14,882 "
North Carolina,937 
North Dakota,334 
Ohio,"5,532 "
Oklahoma,725 
Oregon,"2,531 "
Pennsylvania,"10,665 "
Rhode Island,12 
South Carolina,242 
South Dakota,"2,705 "
Tennessee,634 
Texas,"12,852 "
Utah,"2,322 "
Vermont,"2,680 "
Virginia,"1,635 "
Washington,"6,736 "
West Virginia,111 
Wisconsin,"30,579 "
Wyoming,142 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,