Timestamp,What ZIP Code do you live in?,"What brand of milk do you mainly buy? (Deans, Lucerne, etc.)",What color is the cap of the whole (3.25%) milk?,What color is the cap of the reduced fat (2%) milk?,What color is the cap of the low fat (1%) milk?,What color is the cap of the fat free (0%) milk?
11/15/2019 22:06:08,02215,fairlife,Red,Yellow,Dark Blue,Light Blue
11/15/2019 22:06:46,30064,2%,Red,Dark Blue,Light Blue,Purple
11/15/2019 22:15:21,69420,You have to rape cows to get their milk,Dairy is rape,Very rapey,They fist the cows ass,Stop the enslavement 
11/15/2019 22:15:29,69420,You have to rape cows to get their milk,Dairy is rape,Very rapey,They fist the cows ass,Stop the enslavement 
11/15/2019 22:21:21,63366,Prairie Farms,Red,Dark Blue,Purple,Pink
11/15/2019 22:22:12,89506,Sam's Club's Member's Mark,Red,Dark Blue,Light Blue,Light Green
11/15/2019 22:22:24,20879,Giant Food,Red,Purple,Light Blue,Light Blue
11/15/2019 22:22:53,31017,Great value,Red,Dark Blue,White,Unknown
11/15/2019 22:24:19,80045,Horizon Organic,Yellow,Pink,,Dark Blue
11/15/2019 22:26:30,80218,Simple Truth Organic (Kroger's organic brand),Red,Dark Blue,Purple,Light Blue
11/15/2019 22:35:50,42701,Great value,Red,Dark Blue,Light Blue,Pink
11/15/2019 22:41:01,55122,Kemp’s ,Red,Dark Blue,White,Pink
11/15/2019 22:44:30,95823,Kirkland Signature (Costco),Pink,Dark Blue,Lime Green,Yellow
11/15/2019 22:55:16,56744,Land o lakes,Red,Light Blue,Lime Green,Pink
11/15/2019 22:56:25,43207,Kroger ,Red,Dark Blue,Light Blue,Light Green
11/15/2019 22:59:39,91355,Store brand,We dont have that percent,Dark Blue,Light Blue,White
11/15/2019 23:03:01,48105,Store brand ,Red,Light Green,Dark Blue,Light Blue
11/15/2019 23:08:09,76201,Great Value ,Red,Dark Blue,Light Blue,Purple
11/15/2019 23:08:13,48170,Kroger,Red,Dark Blue,Lime Green,Light Blue
11/15/2019 23:11:39,06415,store brand,Red,Light Blue,Lime Green,
11/15/2019 23:15:02,49017,Meijer store brand,Pink,Dark Blue,Light Blue,Pink
11/15/2019 23:21:21,98075,QFC,Red,Dark Blue,,
11/15/2019 23:28:39,99352,Store brand,Red,Dark Blue,Light Blue,Purple
11/15/2019 23:35:08,14260,Tops,Red,Light Green,Dark Blue,Light Blue
11/15/2019 23:37:44,95121,Oatly,White,Dark Blue,Light Blue,Pink
11/15/2019 23:41:39,84123,Win-Co Brand,Red,Dark Blue,Dark Blue,White
11/15/2019 23:43:14,57703,Land O Lakes,Red,Dark Blue,Light Blue,Light Green
11/15/2019 23:59:35,99206,None,Red,Light Green,Dark Blue,Light Blue
11/16/2019 0:09:15,93111,Trader Joe’s ,,White,,
11/16/2019 0:16:58,30040,Kroger,Red,Dark Blue,Green,Light Blue
11/16/2019 0:18:15,90012,Lucrrnre,Red,Purple,Light Blue,Pink
11/16/2019 0:28:59,98682,Great Value ,Red,Dark Blue,Light Blue,Purple
11/16/2019 0:29:24,62521,Prairie Farms ,Dark Blue,Light Blue,Purple,Pink
11/16/2019 0:32:52,91204,Lucerne,Orange,Dark Blue,Light Blue,White
11/16/2019 0:49:17,22553,Walmart brand,Red,Dark Blue,Lime Green,Pink
11/16/2019 1:12:35,99901,Lucerne ,Red,Yellow,Light Blue,Dark Blue
11/16/2019 1:22:35,91752,Stater Bros,Red,Light Blue,White,White
11/16/2019 1:24:03,80015,Colorado Proud,Red,Dark Blue,Light Green,White
11/16/2019 1:29:11,92021,Great Value,Red,Dark Blue,Light Blue,
11/16/2019 1:30:49,97124,Kroger,Red,Dark Blue,Light Blue,Light Green
11/16/2019 1:44:05,10952,Cream-O-Land,Red,Purple,Dark Blue,Yellow
11/16/2019 1:52:21,91761,Kirkland Signature,Red,Dark Blue,White,Yellow
11/16/2019 2:01:14,55812,Super One,Red,Dark Blue,Light Blue,Pink
11/16/2019 2:03:00,44139,no idea,Red,Dark Blue,Light Blue,Pink
11/16/2019 2:23:07,83301,Fred meyer store brand,Red,Dark Blue,Light Green,Pink
11/16/2019 2:36:27,90007,Ralphs,Red,,,
11/16/2019 2:45:40,19008,Giant Foods of Carlisle,Red,Purple,,
11/16/2019 3:02:12,15215,Deans,Red,Dark Blue,Yellow,Light Blue
11/16/2019 3:06:54,55744,Kemp’s ,Red,Dark Blue,Yellow,Pink
11/16/2019 3:14:15,47809,Kroger,Red,Dark Blue,Pink,Light Blue
11/16/2019 3:31:59,05759,"Cumberland Farms, Stewart's,Hannaford, PICs, Thomas, Aldi",Red,Light Blue,Dark Blue,Pink
11/16/2019 3:33:54,40503,Kroger ,Red,Dark Blue,Lime Green,Light Blue
11/16/2019 3:47:42,92505,Horizon organic ,White,White,White,White
11/16/2019 3:53:59,28226,Harris teeter brand ,Red,Dark Blue,Pink,Light Blue
11/16/2019 3:54:42,28025,"Store brand,  Food Lion or Walmart",Red,Dark Blue,Light Blue,Haven't seen 0% milk
11/16/2019 4:03:51,90007,Market Pantry (Target) ,Red,Dark Blue,Light Green,Pink
11/16/2019 4:04:34,06009,Coles ,Dark Blue,,,
11/16/2019 4:21:36,72404,Kroger,I never drink it,Green maui,Light blue maybe ,Idk
11/16/2019 4:22:49,07310,I don’t recall name ,Red,,,
11/16/2019 4:36:10,64084,Hiland,Red,Dark Blue,Light Blue,Pink
11/16/2019 4:47:04,52722,hyvee,Red,Dark Blue,Light Green,Pink
11/16/2019 4:47:08,45040,Kroger,Red,Dark Blue,Light Blue,Yellow
11/16/2019 4:52:03,44024,Great Value,Red,Dark Blue,Light Blue,Purple
11/16/2019 4:52:38,12009,"Stewart’s, Pics",Red,Dark Green,Dark Blue,Light Blue
11/16/2019 4:55:32,22407,Store brand,Red,Dark Blue,Light Blue,White
11/16/2019 5:08:17,58104,Cass-Clay,Red,Dark Blue,Light Green,Pink
11/16/2019 5:13:56,06095,Garlick,Red,Light Blue,White,
11/16/2019 5:23:44,49307,Great Value,Red,Dark Blue,Pink,White
11/16/2019 5:26:53,60202,Lucerne,Red,,,
11/16/2019 5:44:49,20165,Wegmans,Red,,,
11/16/2019 5:45:33,55441,Aldi,Red,Dark Blue,Pink,
11/16/2019 5:47:57,07017,stop and shop ,Red,Light Blue,Pink,
11/16/2019 5:49:52,65706,Hiland,Red,Dark Blue,Light Green,Pink
11/16/2019 5:50:33,61761,Prairie Farms,Red,Dark Blue,Light Blue,Pink
11/16/2019 5:51:43,04101,Oakhurst,Red,,,
11/16/2019 5:55:04,14624,Byrne Dairy,Red,Yellow,Purple,Light Blue
11/16/2019 5:56:16,03052,Hood,Red,Yellow,Dark Blue,Pink
11/16/2019 5:57:25,64137,Store Brand,Red,Dark Blue,Light Blue,Pink
11/16/2019 5:58:51,13212,Wegmans,Red,Purple,Lime Green,Light Blue
11/16/2019 5:59:23,76707,Lactaid,Red,Dark Blue,N/A,Purple
11/16/2019 6:00:19,33196,Publix,Red,Lime Green,Dark Blue,Light Blue
11/16/2019 6:06:14,14612,Wegmans,Red,Dark Blue,Purple,Light Blue
11/16/2019 6:06:38,78731,A2,White,White,White,White
11/16/2019 6:07:23,77018,HEB,White,White,White,White
11/16/2019 6:08:27,27284,Store brand,I don’t know,Dark Blue,I don’t know,I don’t know
11/16/2019 6:09:33,80525,Morning Fresh (local dairy),Red,Light Blue,Gold,Silver
11/16/2019 6:12:05,54956,Kemps ,Red,Dark Blue,Yellow,Pink
11/16/2019 6:18:41,44223,Giant Eagle,Red,Dark Blue,Pink,Purple
11/16/2019 6:20:20,15217,Giant Eagle,Red,Dark Blue,Yellow,Light Blue
11/16/2019 6:22:11,12401,Shoprite ,Red,Dark Blue,Lime Green,Light Blue
11/16/2019 6:22:45,53718,Sassy Cow Creamery,Red,Dark Blue,Light Blue,Pink
11/16/2019 6:35:46,60565,Oberweis ,Dark Blue,Red,,White
11/16/2019 6:38:51,70072,Walmart,White,Dark Blue,Pink,
11/16/2019 6:39:58,92131,Lucerne,Red,Teal,Yellow,Dark Blue
11/16/2019 6:41:19,02301,Stop & Shop,Red,Light Blue,Light Green,Yellow
11/16/2019 6:42:11,09802,Darigold,Red,Light Blue,Light Green,Don’t know
11/16/2019 6:45:44,65203,I don't know!,Red,Dark Blue,Light Blue,Yellow
11/16/2019 6:45:55,02893,"Fairlife, Garelick",Red,Dark Blue,,Yellow
11/16/2019 6:48:27,46617,Store Brand,Red,Dark Blue,Light Blue,Pink
11/16/2019 6:53:16,30135,horizon,Red,Dark Blue,Light Blue,White
11/16/2019 6:57:21,85719,Shamrock,Red,Orange,Light Blue,Purple
11/16/2019 7:01:18,80631,Store brand,Red,Dark Blue,Light Green,Light Blue
11/16/2019 7:01:50,98727,Kroger,Red,Dark Blue,Light Green,Light Blue
11/16/2019 7:04:59,98521,Great value,Red,Lime Green,Light Blue,Purple
11/16/2019 7:08:38,28778,Laura Lynn,Red,Dark Blue,Light Blue,White
11/16/2019 7:10:19,60538,(Unknown),Red,Dark Blue,Light Blue,Pink
11/16/2019 7:10:48,98007,Dairyland,Yellow,Pink,Purple,Light Blue
11/16/2019 7:11:23,55419,Kemps,Red,Dark Blue,Yellow,Pink
11/16/2019 7:16:54,59715,Local dairy,Red,Dark Blue,Light Green,Purple
11/16/2019 7:17:03,21222,Great Value,Red,Dark Blue,,
11/16/2019 7:17:11,75035,Trader joes or whole foods generics,Red,,Dark Blue,Light Blue
11/16/2019 7:17:15,55419,Kemps,Red,Dark Blue,Yellow,Pink
11/16/2019 7:17:56,31320,Great value,Red,Dark Blue,Light Blue,Pink
11/16/2019 7:20:19,53188,Roundy’s,Red,Dark Blue,Yellow,Pink
11/16/2019 7:25:45,60514,Deans,Dark Blue,Pink,Light Green,White
11/16/2019 7:29:10,17356,Giant,Red,Dark Blue,Dark green,Light Blue
11/16/2019 7:31:17,77004,Mill-King (local Texas creamery),Dark Blue,Do not purchase,Do not purchase,Do not purchase
11/16/2019 7:31:56,19440,Giant/stop & shop.store brand ,Red,Pink,Lime Green,Yellow
11/16/2019 7:32:54,49519,Lactaid,White,White,White,White
11/16/2019 7:35:14,45220,Kroger,Red,Dark Blue,Lime Green,Light Blue
11/16/2019 7:37:59,35749,Kroger,Red,Dark Blue,Light Green,Light Blue
11/16/2019 7:39:20,79015,Great Value,,Dark Blue,,
11/16/2019 7:39:29,77482,Great Value,,Dark Blue,,
11/16/2019 7:44:03,92037,Ralph's,Red,Light Blue,,
11/16/2019 7:45:43,42064,Prairie Farms,Red,Dark Blue,Light Blue,Pink
11/16/2019 7:46:27,70817,Fuck if i know,Red,Dark Blue,Pink,White
11/16/2019 7:55:23,55104,Target,Red,Dark Blue,Yellow,Pink
11/16/2019 7:56:28,53715,Kemp’s ,,Dark Blue,,Pink
11/16/2019 8:02:18,19382,Giant,Red,Dark Blue,Yellow,White
11/16/2019 8:02:19,48864,Meijer,Red,Orange,Pink,Light Blue
11/16/2019 8:02:32,02476,Hood,Red,Light Green,Dark Blue,Yellow
11/16/2019 8:02:37,42001,Store brand,Red,Dark Blue,Light Blue,
11/16/2019 8:03:21,24015,Kroger,Red,Dark Blue,Yellow,Light Blue
11/16/2019 8:04:46,24015,Homestead Creamery,Red,Dark Blue,Green,Light Blue
11/16/2019 8:07:23,12538,Stewarts,Red,Forest Green,White,Light Blue
11/16/2019 8:10:29,33543,publix,Red,Light Green,Purple,Light Blue
11/16/2019 8:15:48,98632,Store brand,Red,Light Blue,Lime Green,Pink
11/16/2019 8:15:56,75022,Kroger,Red,,,
11/16/2019 8:24:34,22485,Great Value,Red,Dark Blue,Pink,I don’t know
11/16/2019 8:29:01,46220,Meijer,Red,Dark Blue,Light Blue,Pink
11/16/2019 8:30:23,55432,Kemps,Red,Dark Blue,Yellow,Pink
11/16/2019 8:30:33,14618,Upstate Farms,Red,Purple,Green,Light Blue
11/16/2019 8:31:34,07928,Store brand,Red,Dark Blue,White,
11/16/2019 8:32:23,33898,Store brand ,Red,Light Green,Pink,Light Blue
11/16/2019 8:43:17,54986,Deans,Red,Dark Blue,Light Blue,Pink
11/16/2019 9:26:18,31778,idk,Dark Blue,Dark Blue,Dark Blue,Dark Blue
11/16/2019 9:38:17,44512,Giant Eagle,Red,Dark Blue,Yellow,Light Blue
11/16/2019 9:44:30,02817,Hood,,,Light Blue,Red
11/16/2019 10:10:02,92782,Alta dena,Red,Pink,Light Blue,White
11/16/2019 10:26:42,89503,Model,Red,Dark Blue,Yellow,Pink
11/16/2019 10:38:13,89701,Mountain Dairy,Red,Dark Blue,Lime Green,Light Blue
11/16/2019 11:57:09,69696,your mom ,pussy flavor,poo poo,pee pee,shut up quoc
11/16/2019 11:57:09,11234,Store,Red,Light Green,Dark Blue,Pink
11/16/2019 12:14:42,48823,Meijer,,Orange,,
11/16/2019 12:17:45,00000,f,f,f,f,f
11/16/2019 12:31:53,95212,Crystal,Red,Light Blue,Dark Blue,
11/16/2019 12:32:46,92069,Winco,Red,Dark Blue,Light Blue,Yellow
11/16/2019 12:34:28,90024,deans,Red,Dark Blue,Light Blue,Purple
11/16/2019 13:37:16,94044,Straus,Red,Pink,Orange,Light Blue
11/16/2019 13:41:24,44203,Reiter,Red,Dark Blue,Purple,Pink
11/16/2019 14:16:40,20744,Aldi brand,Red,Dark Blue,Light Blue,Pink
11/16/2019 14:54:51,97479,Darigold,Red,Dark Blue,Lime Green,Purple
11/16/2019 15:23:38,49508,Meijer,Red,Orange,Pink,Purple
11/16/2019 16:02:15,00000,Store brand,Red,Pink,Orange,puce
11/16/2019 16:14:57,25248,"Broughton, store brands",Red,Dark Blue,Pink,Light Blue
11/16/2019 16:19:27,53705,Kemps,Red,Dark Blue,Yellow,Pink
11/16/2019 16:30:15,01520,Hood,Red,Yellow,Dark Blue,Light Blue
11/16/2019 16:56:33,94523,Lucerne,Red,Red,Red,Red
11/16/2019 16:56:49,02139,hood,Red,Yellow,Dark Blue,Light Blue
11/16/2019 17:02:30,19122,Giant,Red,Dark Blue,Pink,Lime Green
11/16/2019 17:08:35,14215,Great Value,Red,,,
11/16/2019 17:30:30,13624,Great Value,Red,Dark Blue,Light Blue,White
11/16/2019 17:32:20,57703,Store brand,Red,Dark Blue,Light Green,Pink
11/16/2019 18:08:09,17552,"Weis Market, Turkey Hill. (both store brands)",Red,"unsure, white or light blue?","Unsure, white or light blue?",Pink
11/16/2019 18:13:21,94115,Lucerne,Light Blue,Light Blue,Light Green,Red
11/16/2019 18:23:27,19107,Generic,Red,Dark Blue,Dark green,Light Blue
11/16/2019 21:58:53,31029,Laura Lynn ,Red,Purple,Light Blue,Light Blue
11/16/2019 22:13:21,19425,Horizon Organic,White,White,White,White
11/16/2019 22:57:25,99027,Darigold,Red,Dark Blue,Light Green,Purple
11/16/2019 23:15:25,19348,Great Value,,,Light Blue,
11/17/2019 0:15:38,47304,Kroger,Red,,,
11/17/2019 0:26:30,07580,Woolworths Milk,Dark Blue,I don’t think we have that milk here?? Sorry if I am mistaken.,Red,Lime Green
11/17/2019 1:03:35,91801,Straus,Red,Pink,not sold,not sold
11/17/2019 4:18:06,03824,Hannaford,Red,Yellow,Light Blue,Dark Green
11/17/2019 4:19:56,03824,Oakhurst,Red,Purple,Green,Light Blue
11/17/2019 9:17:58,00069,Straight from your momma,Black like my ex’s heart,Neon white,Other,"What the fuck did you just fucking say about me, you little bitch? I'll have you know I graduated top of my class in the Navy Seals, and I've been involved in numerous secret raids on Al-Quaeda, and I have over 300 confirmed kills. I am trained in gorilla warfare and I'm the top sniper in the entire US armed forces. You are nothing to me but just another target. I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth, mark my fucking words. You think you can get away with saying that shit to me over the Internet? Think again, fucker. As we speak I am contacting my secret network of spies across the USA and your IP is being traced right now so you better prepare for the storm, maggot. The storm that wipes out the pathetic little thing you call your life. You're fucking dead, kid. I can be anywhere, anytime, and I can kill you in over seven hundred ways, and that's just with my bare hands. Not only am I extensively trained in unarmed combat, but I have access to the entire arsenal of the United States Marine Corps and I will use it to its full extent to wipe your miserable ass off the face of the continent, you little shit. If only you could have known what unholy retribution your little ""clever"" comment was about to bring down upon you, maybe you would have held your fucking tongue. But you couldn't, you didn't, and now you're paying the price, you goddamn idiot. I will shit fury all over you and you will drown in it. You're fucking dead, kiddo"
11/17/2019 9:18:08,94569,Clover,White,Dark Blue,N/A,N/A
11/17/2019 9:27:39,18109,Store,White,Light Blue,Pink,Light Green
11/17/2019 9:28:13,74105,Braums,Dark Blue,Pink,Light Green,Light Blue
11/17/2019 9:29:03,19115,Store brand,Red,Dark Blue,,
11/17/2019 9:36:03,02891,Hood,Red,Yellow,Dark Blue,Light Blue
11/17/2019 9:40:43,16120,Marburger's,Red,Dark Blue,Yellow,Light Blue
11/17/2019 9:44:41,19152,Wholesome Pantry,Red,Pink,Lime Green,Light Green
11/17/2019 9:54:51,62216,Store brand,Red,Dark Blue,Light blue or light green(depends),Pink
11/17/2019 10:02:43,16101,Schneider's,Red,Dark Blue,Lime Green,Purple
11/17/2019 10:08:41,696969,Your mom's,Bright pink,Dull blue,Puke,Communist red
11/17/2019 10:11:48,55904,Store brand,Red,Dark Blue,Yellow,Pink
11/17/2019 10:12:59,32501,Kirkland (Costco),White,White,White,White
11/17/2019 10:17:34,03124,Hood/Garlick,Red,Yellow,Light Blue,Pink
11/17/2019 10:31:19,67401,Hi-Land,Red,Dark Blue,Light Green,Pink
11/17/2019 10:37:16,53706,"Store brand ""our family""",,,,Pink
11/17/2019 10:44:21,42240,Great Valu,Red,Dark Blue,Light Blue,Pink
11/17/2019 10:48:49,30004,Kroger brand,Red,Dark Blue,Light Blue,Pink
11/17/2019 10:50:15,98118,Winco,Red,Light Blue,Green,Dark Blue
11/17/2019 10:54:13,15232,Giant Eagle,Red,Dark Blue,Yellow,Lime Green
11/17/2019 11:19:26,37803,Mayfield (Subsidiary of Dean),Dark Blue,Red,White,Lime Green
11/17/2019 11:28:38,75235,Kroger,Red,Dark Blue,Lime Green,Light Blue
11/17/2019 11:29:00,98056,Lucerne,Red,Light Green,Light Blue,Dark Blue
11/17/2019 11:30:48,68862,Prairie Farms,Red,Dark Blue,Light Green,Pink
11/17/2019 11:35:00,15748,Turner's,Red,Dark Blue,Lime Green,Light Blue
11/17/2019 12:25:42,43985,United Dairy,Red,Dark Blue,Pink,#00A9A7
11/17/2019 11:42:59,84660,Kirkland Signature ,Red,Dark Blue,Light Blue,Lime Green
11/17/2019 11:49:37,60139,"deans, prairie farm",Red,Dark Blue,Purple,never seen it
11/17/2019 11:49:55,00810,Comemiculo,Negro ,No color,Purple,No tenemos
11/17/2019 11:51:48,48809,Deans,Red,Dark Blue,Light Blue,White
11/17/2019 11:59:53,64093,Great Value,Red,Dark Blue,Light Blue,Pink
11/17/2019 12:14:42,44139,Fairlife,White,White,White,White
11/17/2019 12:15:17,44124,Kirkland ,White,White,White,White
11/17/2019 12:17:28,95945,Value Corner,Red,Turquoise,Yellow,Dark Blue
11/17/2019 12:20:30,92127,Kroger,Red,Dark Blue,Lime Green,Light Blue
11/17/2019 12:35:45,53597,Store Brand,Red,Lime Green,Orange,Purple
11/17/2019 12:48:35,85249,fa!rlife,White,White,Red,White
11/17/2019 12:51:42,05408,Booth Bros,Red,Light Green,Dark Blue,Pink
11/17/2019 13:00:41,02135,Wellesley Farms,Red,Purple,Light Blue,Pink
11/17/2019 13:08:43,60602,cheapest availiable,,,,Pink
11/17/2019 13:08:44,35023,Friendly Farms,Red,Dark Blue,Light Blue,Pink
11/17/2019 13:24:18,60073,Deans,Purple,Red,Light Blue,Red
11/17/2019 13:34:43,97526,"Umpqua, great value, lucerne. ",Red,Dark Blue,Light Blue,White
11/17/2019 13:35:50,49006,Deans,Red,Dark Blue,Light Blue,Pink
11/17/2019 13:48:40,70584,Great Value,Red,Dark Blue,Light Blue,Pink
11/17/2019 14:05:28,27012,Store brand,Red,Dark Blue,Light Blue,Pink
11/17/2019 14:14:21,55441,Cub / Kemp’s,Red,Dark Blue,Yellow,Pink
11/17/2019 14:35:15,44312,Acme,Red,Dark Blue,Light Green,Pink
11/17/2019 14:39:59,55345,Kemps,Red,Yellow,Dark Blue,Dark Blue
11/17/2019 15:22:34,45230,kroger ,Red,Dark Blue,Light Blue,don’t know 
11/17/2019 15:27:05,32811,TG Lee,Red,Dark Blue,Light Blue,Pink
11/17/2019 15:29:39,85704,Shamrock,Red,Orange,,
11/17/2019 16:03:34,46143,Meijer,Red,Orange,Pink,Light Blue
11/17/2019 16:22:04,30309,Publix,Light Green,Light Green,Dark Blue,
11/17/2019 16:30:02,04122,Anchor,Dark Blue,Light Green,Light Blue,Light Green
11/17/2019 16:39:07,35749,Store Brand,Red,Dark Blue,Light Blue,Pink
11/17/2019 16:47:39,95973,I don't buy milk.,Red,Dark Blue,Pink,Green
11/17/2019 16:50:47,40213,Kroger,Red,Dark Blue,Light Green,Light Blue
11/17/2019 17:14:32,89503,Model Dairy,Red,Light Blue,Pink,Purple
11/17/2019 17:24:10,23237,Homestead Creamery,Red,Light Blue,N/A,Light Green
11/17/2019 17:36:46,70809,KLEINPETER,Red,Purple,Pink,Light Blue
11/17/2019 18:23:56,73034,Braum's,Dark Blue,Purple,Pink,Light Green
11/17/2019 18:47:29,48101,Calder's,Red,Orange,IDK,IDK
11/17/2019 19:23:14,85646,Lucerne,Red,,,
11/17/2019 19:40:25,81072,Frys,Orange,Dark Blue,Red,Yellow
11/17/2019 20:27:30,64030,Hilland’s ,Red,Dark Blue,Light Blue,
11/17/2019 21:00:04,44281,Deans,Red,Dark Blue,Purple,I don’t know 
11/17/2019 21:03:05,10918,ShopRite/Bowl & Basket,Pink,Dark Blue,Light Green,Gray
11/17/2019 22:41:15,32223,Publix,Red,Light Green,Purple,Light Blue
11/17/2019 22:46:05,55369,kemps,Red,Dark Blue,Yellow,Pink
11/17/2019 22:59:20,04101,Hannaford,Red,Yellow,Light Blue,Lime Green
11/17/2019 23:45:01,08801,Store Brand,Red,Dark Blue,Dark Blue,Pink
11/17/2019 23:56:02,20814,Cloverland,Red,Purple,Lime Green,Light Blue
11/17/2019 23:59:47,98122,Darigold,Red,Dark Blue,Lime Green,Pink
11/17/2019 23:59:54,11208,Cream-O-Land,Red,Purple,Pink,Light Blue
11/18/2019 0:34:21,83201,Kroger,Red,,,
11/18/2019 0:47:29,43528,Kroger,Red,Dark Blue,Light Green,Light Blue
11/18/2019 2:37:50,55414,Kemp’s ,Red,Dark Blue,Pink,Yellow
11/18/2019 3:08:54,37073,Kroger store brand ,Red,Dark Blue,Light Blue,Pink
11/18/2019 3:27:38,12566,Stewart's ,Red,Green,Light Blue,White
11/18/2019 4:11:43,08854,Farmland Fresh Dairies,Red,Purple,Lime Green,Dark Blue
11/18/2019 4:41:51,61530,Prairie Farms,Red,Dark Blue,Light Blue,Red
11/18/2019 5:29:48,02814,Deans,Purple,Orange,White,Lime Green
11/18/2019 6:02:37,77375,HEB,Purple,Red,Light Blue,Light Blue
11/18/2019 6:15:37,77054,Blue Bell,Red,Light Green,Dark Blue,Light Blue
11/18/2019 6:38:49,06082,garelick farms,Red,Dark Blue,Dark Blue,Light Blue
11/18/2019 7:00:57,30241,Sam's choice,Red,Light Blue,Pink,
11/18/2019 7:03:32,14227,Wegmans ,Red,Purple,Lime Green,Light Blue
11/18/2019 7:11:25,30062,Publix (store brand),Red,green,Purple,Light Blue
11/18/2019 8:07:26,15003,Marburger,Red,Dark Blue,Yellow,Light Blue
11/18/2019 8:23:50,55406,Aldi brand,Red,Dark Blue,Yellow,Pink
11/18/2019 8:29:36,33566,Publix,Red,Light Green,Lime Green,Light Blue
11/18/2019 8:35:55,52402,HyVee,Red,Purple,Light Green,Dark Blue
11/18/2019 8:37:56,15222,Deans,Red,Dark Blue,,
11/18/2019 8:39:03,19144,Clover Farms,Red,,,
11/18/2019 9:17:24,40223,Kroger,Red,Dark Blue,Light Green,Pink
11/18/2019 9:48:51,52411,Hyvee,Red,Dark Blue,Light Green,Pink
11/18/2019 9:53:25,17601,Wegman's store brand,Purple,Purple,Don't know-- never buy it,Don't know-- never buy it
11/18/2019 10:10:06,58078,Hornbachers,Light Blue,Light Blue,Pink,
11/18/2019 10:30:20,12309,Bowl and Basket,Pink,Light Green,Light Blue,Purple
11/18/2019 10:50:16,73071,Braums,Dark Blue,Purple,Pink,Light Green
11/18/2019 11:11:12,29330,Great Value ,Red,Dark Blue,Light Blue,Pink
11/18/2019 11:34:38,72116,Kroger,Red,Dark Blue,Light Blue,Pink
11/18/2019 12:05:33,30458,Food World,Red,Dark Blue,Light Blue,Never heard of this.
11/18/2019 12:08:55,41017,Kroger,Red,Dark Blue,Lime Green,Light Blue
11/18/2019 12:13:33,53140,kemps,sorry dont know,Dark Blue,White,White
11/18/2019 12:27:59,98056,Kirkland Signature,White,White,White,White
11/18/2019 12:44:51,64108,Oatly,Red,Pink,Purple,Dark Blue
11/18/2019 13:44:53,07110,Shoprite brand,Red,Lime Green,,
11/18/2019 14:39:18,92649,Kroger,Purple,Dark Blue,Light Green,Light Blue
11/18/2019 15:19:30,02116,Hood,Red,Lime Green,Dark Blue,Yellow
11/18/2019 15:36:55,85364,Almond Breeze,White,White,White,White
11/18/2019 16:09:43,46012,Generic,Red,Dark Blue,Light Blue,Pink
11/18/2019 16:14:12,53051,Kemps,Red,Dark Blue,,Pink
11/18/2019 17:13:13,66941,"Best choice i think, dont buy milk all that often but its the only brand the store has.",Red,Dark Blue,Light Blue,Pink
11/18/2019 17:58:28,76548,Great Value,Red,Dark Blue,Light Blue,White
11/18/2019 18:30:58,73162,Hiland,Red,Dark Blue,Light Blue,Pink
11/18/2019 18:38:56,66062,Great Value (Organic),White,White,White,White
11/18/2019 19:11:16,40014,Deans,,,,Gray
11/18/2019 19:58:53,92880,Store brand,Red,I don’t know ,I don’t know,White
11/18/2019 20:00:45,60565,Jewel,,,,Pink
11/18/2019 20:11:34,10025,Midland Farms,Red,Light Green,"N/A, they don't have that one at the supermarket",Dark Blue
11/18/2019 21:54:03,85207,Winco milk,Red,Red,Red,Red
11/18/2019 22:50:34,63367,Prairie Frams,Red,Dark Blue,Light Blue,Pink
11/18/2019 23:11:54,93109,"Alta Dena, Lucerne",Red,N/A: I don't buy.,N/A: I don't buy.,N/A: I don't buy.
11/19/2019 4:01:00,79109,Lucerne,Red,Light Blue,Yellow,Pink
11/19/2019 4:15:17,30415,IGA,Red,Dark Blue,Light Blue,Light Green
11/19/2019 7:40:04,46723,Deans or Great Value,Red,Pink,Dark Blue,Light Blue
11/19/2019 9:40:25,04049,Hood,Red,Yellow,Not sure,Not sure
11/19/2019 15:59:15,73071,Hiland ,Red,Dark Blue,Light Blue,Pink
11/20/2019 5:53:10,53213,Roundy's,Red,Dark Blue,Yellow,Pink
11/21/2019 20:37:35,84606,Kroger,,Dark Blue,,
11/22/2019 23:58:56,78653,Friendly Farms,Red,Dark Blue,Light Blue,Pink
11/24/2019 10:38:00,75075,Kirkland,Red,"#467EB5, a normal blue",Light Blue,Purple
11/25/2019 7:20:13,4400,Vereq,White,White,White,White
12/1/2019 1:29:51,19104,Wawa,Red,Pink,Light Blue,Light Green
12/28/2019 8:03:31,84102,Silk,Red,Dark Blue,Light Green,Light Blue
12/31/2019 11:29:56,92683,Rock View,Red,Dark Blue,White,Light Blue